postcode_area,postcode_area_name
AB,Aberdeen
AL,St. Albans
B,Birmingham
BA,Bath
BB,Blackburn
BD,Bradford
BH,Bournemouth
BL,Bolton
BN,Brighton
BR,Bromley
BS,Bristol
BT,Belfast
CA,Carlisle
CB,Cambridge
CF,Cardiff
CH,Chester
CM,Chelmsford
CO,Colchester
CR,Croydon
CT,Canterbury
CV,Coventry
CW,Crewe
DA,Dartford
DD,Dundee
DE,Derby
DG,Dumfries
DH,Durham
DL,Darlington
DN,Doncaster
DT,Dorchester
DY,Dudley
E,London
EC,London
EH,Edinburgh
EN,Enfield
EX,Exeter
FK,Falkirk
FY,Blackpool
G,Glasgow
GL,Gloucester
GU,Guilford
GY,Guernsey
HA,Harrow
HD,Huddersfield
HG,Harrogate
HP,Hemel
HR,Hereford
HS,Comhairle nan Eilean Siar
HU,Hull
HX,Halifax
IG,Ilford
IM,Isle of Man
IP,Ipswich
IV,Inverness
JE,Jersey
KA,Kilmarnock
KT,Kingston
KW,Kirkwall
KY,Kirkaldy
L,Liverpool
LA,Lancaster
LD,Llandrindod
LE,Leicester
LL,Llandudno
LN,Lincoln
LS,Leeds
LU,Luton
M,Manchester
ME,Medway
MK,Milton Keynes
ML,Motherwell
N,North London
NE,Newcastle
NG,Nottingham
NN,Northampton
NP,Newport
NR,Norwich
NW,London
OL,Oldham
OX,Oxford
PA,Paisley
PE,Peterborough
PH,Perth
PL,Plymouth
PO,Portsmouth
PR,Preston
QC,Awarding Bodies
RG,Reading
RH,Redhill
RM,Romford
S,Sheffield
SA,Swansea
SE,London
SG,Stevenage
SK,Stockport
SL,Slough
SM,Sutton
SN,Swindon
SO,Southampton
SP,Salisbury
SR,Sunderland
SS,Southend
ST,Stoke on Trent
SW,London
SY,Shrewsbury
TA,Taunton
TD,Galashiels
TF,Telford
TN,Tonbridge
TQ,Torquay
TR,Truro
TS,Cleveland
TW,Twickenham
UB,Southall
W,West London
WA,Warrington
WC,London
WD,Watford
WF,Wakefield
WN,Wigan
WR,Worcester
WS,Walsall
WV,Wolverhampton
YO,York
ZE,Shetland